Date Received - DPS,Action Date,Requisition Number,Description of Good or Services,Vendor Name,Department Name,Requisition Amount,Justification,Approved/Denied,Request for New Contract/Mod,Requisition# for New Contract/Mod,Contract Awarded?,Contract Number Awarded,Check BPA,Exhibit B Status,Procurement Process Phase
2023-08-15 12:29:35,2023-08-15,548525,"BOTTLED DRINKING WATER, DISTILLED WATER & WATER COOLER RENTALS",BLUETRITON BRANDS INC,88-DEPARTMENT OF WATER MANAGEMENT,7903.11,3. One Time Purchase,APPROVED,No,,No,,Yes,Completed,H. One Time Purchase
2023-08-15 15:02:48,2023-08-15,548476,Bottled water,BLUETRITON BRANDS INC,81-DEPARTMENT OF STREETS AND SANITATION,499.0,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,000000,Yes,Completed,B. City Law Review
2023-08-17 13:22:30,2023-08-17,549129,Water,BLUETRITON BRANDS INC,81-DEPARTMENT OF STREETS AND SANITATION,523.79,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,0,Yes,Completed,A. Specification Development Phase
2023-08-22 08:22:11,2023-08-22,549503,Purchase of water for laborers and drivers during extremely hot days,BLUETRITON BRANDS INC,81-DEPARTMENT OF STREETS AND SANITATION,1290.7,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,000000,Yes,Completed,C. Solicitation or Bidding Phase
2023-08-28 09:25:25,2023-08-28,550867,WATER INVOICE FOR JULY 2023 CDA was advised by Deputy Procurement officer Benjamin Ho that Exhibit Bs are being processed till a new contract is in place.,BLUETRITON BRANDS INC,85-CHICAGO DEPARTMENT OF AVIATION,1792.23,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,No,,No,,Yes,Completed,A. Specification Development Phase
2023-08-28 15:40:35,2023-08-28,551034,ReadyRefresh - #03G6700930344,BLUETRITON BRANDS INC,73-CHICAGO ANIMAL CARE AND CONTROL,297.42,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,No,511569,No,,Yes,Completed,B. City Law Review
2023-08-29 12:03:37,2023-09-14,551185,WATER - DRINKING,BLUETRITON BRANDS INC,81-DEPARTMENT OF STREETS AND SANITATION,895.8,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,,Yes,Completed,A. Specification Development Phase
2023-09-07 12:06:16,2023-09-18,552794,Bottled Water,"DS Services of America, Inc.",59-CHICAGO FIRE DEPARTMENT,12319.63,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,,Yes,Completed,C. Solicitation or Bidding Phase
2023-09-13 09:53:23,2023-09-18,553652,FFIB PURCHASE OF WATER FOR CFD FIREHOUSES FOR THE MONTH OF JULY 2023,"DS Services of America, Inc.",59-CHICAGO FIRE DEPARTMENT,8741.91,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,,Yes,Completed,C. Solicitation or Bidding Phase
2023-09-14 10:47:43,2023-09-18,553923,Monthly Drinking Water Services at City of Chicago Salvage Operations  July - August 2023,BLUETRITON BRANDS INC,35-DEPARTMENT OF PROCUREMENT SERVICES,40.47,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,Yes,30043,Yes,Completed,A. Specification Development Phase
2023-09-18 12:11:21,2023-09-18,554389,Bottled Water-CPD SWAT,"DS Services of America, Inc.",51-OFFICE OF PUBLIC SAFETY ADMINISTRATION,668.44,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,,Yes,Completed,C. Solicitation or Bidding Phase
2023-09-19 13:23:49,2023-09-27,554609,Purchase of water for laborers and drivers during extremely hot days,BLUETRITON BRANDS INC,81-DEPARTMENT OF STREETS AND SANITATION,1312.07,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,000000,Yes,Completed,C. Solicitation or Bidding Phase
2023-09-20 12:57:31,2023-09-27,554992,Water,BLUETRITON BRANDS INC,81-DEPARTMENT OF STREETS AND SANITATION,216.56,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,0,Yes,Completed,A. Specification Development Phase
2023-09-22 13:38:40,2023-09-27,555429,ACCT# 0122238496 Drinking Water Invoice# 13H0122238496 Activity from 07/11/23-08/10/23,BLUETRITON BRANDS INC,85-CHICAGO DEPARTMENT OF AVIATION,3354.43,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,No,,No,,Yes,Completed,A. Specification Development Phase
2023-10-12 14:21:17,2023-10-18,558492,Monthly Drinking Water Services at City of Chicago Salvage Operations  September 2023,BLUETRITON BRANDS INC,35-DEPARTMENT OF PROCUREMENT SERVICES,22.48,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,Yes,30043,Yes,Completed,A. Specification Development Phase
2023-10-17 08:59:46,2023-10-17,559130,WATER INVOICE FOR AUGUST 2023,BLUETRITON BRANDS INC,85-CHICAGO DEPARTMENT OF AVIATION,3365.67,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,No,,No,,Yes,Completed,A. Specification Development Phase
2023-10-17 10:42:31,2023-10-17,559197,Water,BLUETRITON BRANDS INC,81-DEPARTMENT OF STREETS AND SANITATION,305.49,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,0,Yes,Completed,A. Specification Development Phase
2023-10-17 12:50:26,2023-10-17,559279,WATER FOR SMALL BUSINESS EXPO,BLUETRITON BRANDS INC,70-DEPARTMENT OF BUSINESS AFFAIRS AND CONSUMER PROTECTION,0.0,,,,,,,,,
2023-10-17 14:33:40,2023-10-23,559327,WATER FOR SMALL BUSINESS EXPO,BLUETRITON BRANDS INC,70-DEPARTMENT OF BUSINESS AFFAIRS AND CONSUMER PROTECTION,42.45,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,No,,No,,Yes,Completed,C. Solicitation or Bidding Phase
2023-10-20 11:11:04,2023-10-23,560180,Bottled Water,"DS Services of America, Inc.",59-CHICAGO FIRE DEPARTMENT,4078.41,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,,Yes,Completed,C. Solicitation or Bidding Phase
2023-10-23 08:12:31,2023-10-23,560331,Bottled Water-CPD SWAT,"DS Services of America, Inc.",51-OFFICE OF PUBLIC SAFETY ADMINISTRATION,918.24,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,,Yes,Completed,C. Solicitation or Bidding Phase
2023-10-23 15:14:33,2023-10-23,560436,Purchase of water for laborers and drivers during extremely hot days,BLUETRITON BRANDS INC,81-DEPARTMENT OF STREETS AND SANITATION,21.37,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,000000,Yes,Completed,C. Solicitation or Bidding Phase
2023-11-06 12:18:31,2023-11-06,563331,WATER - DRINKING,BLUETRITON BRANDS INC,81-DEPARTMENT OF STREETS AND SANITATION,435.5,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,,Yes,Completed,A. Specification Development Phase
2023-11-09 08:54:43,2023-11-13,564215,INVOICE RECONCILIATION FOR CPD WATER PURCHASE AND RENTAL,BLUETRITON BRANDS INC,57-CHICAGO POLICE DEPARTMENT,6204.0,4. Invoice Reconciliation - Invoice Received after Contract Expiration,APPROVED,Yes,511569,No,,Yes,Completed,C. Solicitation or Bidding Phase
2023-11-17 09:48:29,2023-11-17,565334,Monthly Drinking Water Services at City of Chicago Salvage Operations October 2023,BLUETRITON BRANDS INC,35-DEPARTMENT OF PROCUREMENT SERVICES,22.48,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,Yes,30043,Yes,Completed,A. Specification Development Phase
2023-11-17 14:10:12,2023-11-27,565486,Rental of Water Cooler,BLUETRITON BRANDS INC,81-DEPARTMENT OF STREETS AND SANITATION,38.87,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,000000,Yes,Completed,B. City Law Review
2023-11-27 10:43:23,2023-11-27,566114,Purchase of water for laborers and drivers during extremely hot days,BLUETRITON BRANDS INC,81-DEPARTMENT OF STREETS AND SANITATION,1330.69,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,000000,Yes,Completed,C. Solicitation or Bidding Phase
2023-12-01 15:27:26,2023-12-07,567617,ACCT# 0122238496 Drinking Water Invoice# 13J0122238496 Activity 09/11/23-10/10/23 & Invoice#    13K0122238496 Activity 10/11/23-11/10/23,BLUETRITON BRANDS INC,85-CHICAGO DEPARTMENT OF AVIATION,4872.93,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,No,,No,,Yes,Completed,A. Specification Development Phase
2023-12-05 14:46:03,2023-12-07,568268,Water,BLUETRITON BRANDS INC,81-DEPARTMENT OF STREETS AND SANITATION,189.75,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,0,Yes,Completed,A. Specification Development Phase
2023-12-06 13:43:43,2023-12-07,568584,Monthly Drinking Water Services at City of Chicago Salvage Operations November 2023,BLUETRITON BRANDS INC,35-DEPARTMENT OF PROCUREMENT SERVICES,20.21,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,Yes,30043,Yes,Completed,A. Specification Development Phase
2023-12-20 13:34:22,2023-12-26,571412,ReadyRefresh,BLUETRITON BRANDS INC,73-CHICAGO ANIMAL CARE AND CONTROL,1218.59,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,No,511569,No,,Yes,Completed,B. City Law Review
2023-12-20 14:22:57,2023-12-26,571720,BOTTLED WATER PURCHASE FOR CFD OPERATIONS,"DS Services of America, Inc.",59-CHICAGO FIRE DEPARTMENT,5181.01,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,,Yes,Completed,C. Solicitation or Bidding Phase
2023-12-21 11:56:43,2024-01-11,571961,COPA Complainant materials/supplies,BLUETRITON BRANDS INC,60-CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,0.0,4. Invoice Reconciliation - Invoice Received after Contract Expiration,,No,,No,,Yes,,H. One Time Purchase
2023-12-22 11:00:19,2023-12-22,572228,WATER PURCHASE AND COOLER RENTAL FOR CPD SWAT TEAM,"DS Services of America, Inc.",57-CHICAGO POLICE DEPARTMENT,550.03,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,,Yes,Completed,C. Solicitation or Bidding Phase
2023-12-28 13:12:41,2023-12-31,572906,Water,BLUETRITON BRANDS INC,81-DEPARTMENT OF STREETS AND SANITATION,250.42,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,0,Yes,Completed,A. Specification Development Phase
2023-12-28 15:32:10,2023-12-31,572962,WATER - DRINKING,BLUETRITON BRANDS INC,81-DEPARTMENT OF STREETS AND SANITATION,488.0,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,,Yes,Completed,A. Specification Development Phase
2024-01-17 10:58:48,2024-01-17,576104,Water Bills DEC 202313L0122238496-acct# 0122238496$2028- $2028.4803L6708014370 Acct# 6708014370- $43.99,BLUETRITON BRANDS INC,85-CHICAGO DEPARTMENT OF AVIATION,2072.47,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,No,,No,,Yes,Completed,G. Not Applicable (Office Depot use Only)
2024-01-19 16:10:20,2024-01-22,577248,COPA Complainant materials/supplies,BLUETRITON BRANDS INC,60-CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,397.12,4. Invoice Reconciliation - Invoice Received after Contract Expiration,APPROVED,No,,No,,Yes,Completed,H. One Time Purchase
2024-01-19 17:17:05,2024-01-26,571133,Purchase of water for laborers and drivers during extremely hot days,BLUETRITON BRANDS INC,81-DEPARTMENT OF STREETS AND SANITATION,53.42,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,000000,Yes,Completed,C. Solicitation or Bidding Phase
2024-02-02 12:35:37,2024-02-06,579930,Bottled Drinking Water - Ready Refresh,BLUETRITON BRANDS INC,84-CHICAGO DEPARTMENT OF TRANSPORTATION,519.21,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,No,,No,No,Yes,Completed,C. Solicitation or Bidding Phase
2024-02-06 08:19:27,2024-02-06,580378,"TRAINING GRANT FY23 PRIMO WATER $2,596.70 CONSUMABLE SUPPLIES","DS Services of America, Inc.",59-CHICAGO FIRE DEPARTMENT,2596.7,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,,Yes,Completed,C. Solicitation or Bidding Phase
2024-02-21 09:01:38,2024-02-27,583676,(2) invoices: #14A0122238496 & #04A6708014370Transferred from APRF No. 481199.  WATER INVOICES FOR DECEMBER 2023,BLUETRITON BRANDS INC,85-CHICAGO DEPARTMENT OF AVIATION,1774.22,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,No,,No,,Yes,Completed,A. Specification Development Phase
2024-02-22 12:21:01,2024-02-27,584178,Previous Balance/Top load H&C Cooler rental/Late Fee,HINCKLEY SPRINGS,51-OFFICE OF PUBLIC SAFETY ADMINISTRATION,611.57,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,,Yes,Completed,C. Solicitation or Bidding Phase
2024-02-27 11:44:35,2024-02-27,585132,Water,BLUETRITON BRANDS INC,81-DEPARTMENT OF STREETS AND SANITATION,551.914,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,0,Yes,Completed,A. Specification Development Phase
2024-03-06 12:52:34,2024-03-07,586832,"WATER INVOICES FOR JANUARY 2024#04B6708014370  $65.99 and#14B0122238496  $2,962.98",BLUETRITON BRANDS INC,85-CHICAGO DEPARTMENT OF AVIATION,3028.97,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,No,,No,,Yes,Completed,A. Specification Development Phase
2024-03-11 09:20:00,2024-03-13,587501,Bottle Water,"DS Services of America, Inc.",59-CHICAGO FIRE DEPARTMENT,9056.73,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,,Yes,Completed,C. Solicitation or Bidding Phase
2024-03-11 10:20:38,2024-03-13,587536,Monthly Drinking Water Services at City of Chicago Salvage Operations Feb 2024,BLUETRITON BRANDS INC,35-DEPARTMENT OF PROCUREMENT SERVICES,25.46,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,Yes,30043,Yes,Completed,A. Specification Development Phase
2024-03-13 16:03:37,2024-03-13,588464,Water Cooler,BREWSMART BEVERAGE,31-DEPARTMENT OF LAW,666.0,3. One Time Purchase,APPROVED,No,,No,,Yes,Completed,H. One Time Purchase
2024-03-26 08:27:52,2024-04-01,590802,Water,BLUETRITON BRANDS INC,81-DEPARTMENT OF STREETS AND SANITATION,294.55,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,0,Yes,Completed,A. Specification Development Phase
2024-03-26 11:12:46,2024-03-28,590908,"WATER BILL FEBUARY 2024 #2 Invoices: #04C6708014370  $34.49 &#14C0122238496  $3,365.60",BLUETRITON BRANDS INC,85-CHICAGO DEPARTMENT OF AVIATION,3400.09,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,No,,No,,Yes,Completed,A. Specification Development Phase
2024-03-26 12:22:24,2024-03-28,590955,WATER - DRINKING,BLUETRITON BRANDS INC,81-DEPARTMENT OF STREETS AND SANITATION,1798.15,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,,Yes,Completed,A. Specification Development Phase
2024-03-27 12:09:26,2024-04-01,591235,2022 - 2023 Ready Refresh Invoices,BLUETRITON BRANDS INC,50-DEPARTMENT OF FAMILY AND SUPPORT SERVICES,2608.62,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,No,,No,30043,Yes,Completed,C. Solicitation or Bidding Phase
2024-04-08 13:06:39,2024-04-22,593527,Purchase of water for laborers and drivers during extremely hot days,BLUETRITON BRANDS INC,81-DEPARTMENT OF STREETS AND SANITATION,42.74,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,000000,Yes,Completed,C. Solicitation or Bidding Phase
2024-04-15 08:25:26,2024-04-16,594841,Purchase of water for laborers and drivers during extremely hot days,BLUETRITON BRANDS INC,81-DEPARTMENT OF STREETS AND SANITATION,21.37,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,000000,Yes,Completed,C. Solicitation or Bidding Phase
2024-04-17 09:09:48,2024-04-23,595661,BOTTLE WATER/COOLER RENTAL,HINCKLEY SPRINGS,51-OFFICE OF PUBLIC SAFETY ADMINISTRATION,387.42,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,,Yes,Completed,C. Solicitation or Bidding Phase
2024-04-19 11:12:26,2024-04-30,595894,WATER,BLUETRITON BRANDS INC,70-DEPARTMENT OF BUSINESS AFFAIRS AND CONSUMER PROTECTION,42.45,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,No,,No,,Yes,Completed,C. Solicitation or Bidding Phase
2024-04-22 11:53:56,2024-04-30,596548,Water Invoices from August 2023 to March 2024 (For CFD Firehouses),"DS Services of America, Inc.",59-CHICAGO FIRE DEPARTMENT,77361.7,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,,Yes,Completed,C. Solicitation or Bidding Phase
2024-04-22 14:51:39,2024-04-23,596655,2/23/2024 - 1680 Cases Water/20 Pallets.  Water Bottle Tax/Delivery Fee,"DS Services of America, Inc.",59-CHICAGO FIRE DEPARTMENT,13017.13,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,,Yes,Completed,C. Solicitation or Bidding Phase
2024-04-25 14:57:54,2024-04-30,597479,Invoice number: 14D0122238496Invoice number: 04D6708014370WATER BILLS INVOICES FOR MARCH 2024SPEICAL HANDLING TO EXPEDITE,BLUETRITON BRANDS INC,85-CHICAGO DEPARTMENT OF AVIATION,2910.48,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,No,,No,,Yes,Completed,A. Specification Development Phase
2024-04-26 10:26:06,2024-04-30,597583,Water,BLUETRITON BRANDS INC,81-DEPARTMENT OF STREETS AND SANITATION,154.83,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,0,Yes,Completed,A. Specification Development Phase
2024-05-01 11:43:52,2024-05-01,598414,Monthly Drinking Water Services at City of Chicago Salvage Operations April 2024,BLUETRITON BRANDS INC,35-DEPARTMENT OF PROCUREMENT SERVICES,10.5,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,Yes,30043,Yes,Completed,A. Specification Development Phase
2024-05-02 15:08:11,2024-05-07,598712,Bottled Water 5 Gallon Bottles,BLUETRITON BRANDS INC,84-CHICAGO DEPARTMENT OF TRANSPORTATION,154.95,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,No,TBD,No,,Yes,Completed,A. Specification Development Phase
2024-05-15 09:00:37,2024-05-22,600853,Bottle Water/Cooler Rental/Delivery,HINCKLEY SPRINGS,51-OFFICE OF PUBLIC SAFETY ADMINISTRATION,0.0,1. Pending New Contract - Original Contract Expired. New Contract in Process,,Yes,511569,No,,Yes,,C. Solicitation or Bidding Phase
2024-05-21 14:23:40,2024-05-21,602002,Bottle Water/Cooler Rental/ Delivery,HINCKLEY SPRINGS,51-OFFICE OF PUBLIC SAFETY ADMINISTRATION,1957.33,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,,Yes,Completed,D. Solicitation Response Under Evaluation
2024-05-24 09:35:25,2024-05-29,602672,Transferred from APRF No. 485463.  WATER BILL FOR THE MONTH OF APRIL 2024MOD to audited invoice.  kf 5.23.24,BLUETRITON BRANDS INC,85-CHICAGO DEPARTMENT OF AVIATION,2146.97,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,No,,No,,Yes,Completed,A. Specification Development Phase
2024-05-30 13:44:55,2024-05-31,603363,Water,BLUETRITON BRANDS INC,81-DEPARTMENT OF STREETS AND SANITATION,203.17,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,0,Yes,Completed,A. Specification Development Phase
2024-06-14 15:27:18,2024-06-20,606350,Purchase of water for laborers and drivers during extremely hot days,BLUETRITON BRANDS INC,81-DEPARTMENT OF STREETS AND SANITATION,1268.87,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,000000,Yes,Completed,C. Solicitation or Bidding Phase
2024-06-17 15:08:23,2024-06-20,606691,Monthly Drinking Water Services at City of Chicago Salvage Operations May 2024,BLUETRITON BRANDS INC,35-DEPARTMENT OF PROCUREMENT SERVICES,8.97,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,Yes,30043,Yes,Completed,A. Specification Development Phase
2024-06-25 14:44:58,2024-07-01,608264,Water,BLUETRITON BRANDS INC,81-DEPARTMENT OF STREETS AND SANITATION,254.63,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,0,Yes,Completed,A. Specification Development Phase
2024-06-28 09:22:33,2024-07-02,609089,Cooler Rental/Delivery 5G Water,HINCKLEY SPRINGS,51-OFFICE OF PUBLIC SAFETY ADMINISTRATION,369.95,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,,Yes,Completed,C. Solicitation or Bidding Phase
2024-07-02 12:05:52,2024-07-15,609678,2 DRINKING WATER BILLS FOR THE MONTH OF MAY 2024 $ 1930.72,BLUETRITON BRANDS INC,85-CHICAGO DEPARTMENT OF AVIATION,1930.72,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,No,,No,,Yes,Completed,A. Specification Development Phase
2024-07-17 10:30:31,2024-08-02,612114,Purchase of water for laborers and drivers during extremely hot days,BLUETRITON BRANDS INC,81-DEPARTMENT OF STREETS AND SANITATION,1268.87,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,000000,Yes,Completed,C. Solicitation or Bidding Phase
2024-07-19 11:36:59,2024-08-05,612703,Water,BLUETRITON BRANDS INC,81-DEPARTMENT OF STREETS AND SANITATION,284.57,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,0,Yes,Completed,A. Specification Development Phase
2024-07-22 10:26:40,2024-08-05,612836,Monthly Drinking Water Services at City of Chicago Salvage Operations July 2024,BLUETRITON BRANDS INC,35-DEPARTMENT OF PROCUREMENT SERVICES,10.5,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,Yes,30043,Yes,Completed,A. Specification Development Phase
2024-07-26 14:27:44,2024-08-02,614148,"NEED TO PAY WATER INVOICES FOR JUNE 2024.Invoices: O4G6708014370,14G0122238496",BLUETRITON BRANDS INC,85-CHICAGO DEPARTMENT OF AVIATION,3540.38,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,No,,No,,Yes,Completed,A. Specification Development Phase
2024-08-01 09:08:00,2024-08-06,614988,ICE MOUNTAIN BRAND SPRING WATER .5L CASE OF 24,BLUETRITON BRANDS INC,81-DEPARTMENT OF STREETS AND SANITATION,3168.25,6. Bid Protest - Contract Award under Review,APPROVED,Yes,511569,No,00000,Yes,Completed,C. Solicitation or Bidding Phase
2024-08-02 10:03:08,2024-08-13,615438,"BOTTLED DRINKING WATER, DISTILLED WATER & WATER COOLER RENTALS",BLUETRITON BRANDS INC,84-CHICAGO DEPARTMENT OF TRANSPORTATION,558.22,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,No,na,No,na,Yes,Completed,A. Specification Development Phase
2024-08-13 09:24:27,2024-08-13,617144,Purchase of water for laborers and drivers during extremely hot days,BLUETRITON BRANDS INC,81-DEPARTMENT OF STREETS AND SANITATION,42.74,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,000000,Yes,Completed,C. Solicitation or Bidding Phase
2024-08-26 11:32:21,2024-08-26,619755,5G Water/Delivery Fee,HINCKLEY SPRINGS,51-OFFICE OF PUBLIC SAFETY ADMINISTRATION,408.89,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,,No,,Yes,Completed,A. Specification Development Phase
2024-08-26 11:36:41,2024-08-26,619762,5G WATER / DELIVERY FEE,HINCKLEY SPRINGS,51-OFFICE OF PUBLIC SAFETY ADMINISTRATION,434.85,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,,No,,Yes,Completed,A. Specification Development Phase
2024-08-28 15:51:31,2024-08-28,620478,"2 Invoices Invoice# 04H6708014370 FOR $2.99Invoice# 14h0122238496 for $2,453.73for Account No. 0122238496Current Activity from Jul, 15 2024- Aug 14, 2024",BLUETRITON BRANDS INC,85-CHICAGO DEPARTMENT OF AVIATION,2456.72,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,No,,No,,Yes,Completed,A. Specification Development Phase
2024-09-10 10:35:15,2024-09-13,622021,"FFIB Primo - DS Services $11,061.65","DS Services of America, Inc.",59-CHICAGO FIRE DEPARTMENT,11061.65,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,,No,,Yes,Completed,A. Specification Development Phase
2024-09-11 13:11:54,2024-09-13,622512,Water,BLUETRITON BRANDS INC,81-DEPARTMENT OF STREETS AND SANITATION,312.62,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,0,Yes,Completed,A. Specification Development Phase
2024-09-16 10:25:23,2024-09-17,623272,Monthly Drinking Water Services at City of Chicago Salvage Operations August 2024,BLUETRITON BRANDS INC,35-DEPARTMENT OF PROCUREMENT SERVICES,35.22,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,Yes,30043,Yes,Completed,A. Specification Development Phase
2024-09-18 15:56:52,2024-10-01,624000,ReadyRefresh 9-18-24,BLUETRITON BRANDS INC,73-CHICAGO ANIMAL CARE AND CONTROL,464.19,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,No,511569,No,,Yes,Completed,B. City Law Review
2024-09-19 08:29:38,2024-09-23,624057,Purchase of water to keep workers hydrated.,BLUETRITON BRANDS INC,81-DEPARTMENT OF STREETS AND SANITATION,21.37,6. Bid Protest - Contract Award under Review,APPROVED,Yes,00000,No,000000,Yes,Completed,D. Solicitation Response Under Evaluation
2024-09-20 09:56:43,2024-09-20,624419,WATER,BLUETRITON BRANDS INC,70-DEPARTMENT OF BUSINESS AFFAIRS AND CONSUMER PROTECTION,0.0,1. Pending New Contract - Original Contract Expired. New Contract in Process,,No,,No,,Yes,,C. Solicitation or Bidding Phase
2024-09-23 10:47:53,2024-09-25,624714,WATER - DRINKING,BLUETRITON BRANDS INC,81-DEPARTMENT OF STREETS AND SANITATION,1200.0,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,,Yes,Completed,A. Specification Development Phase
2024-09-24 12:54:58,2024-09-27,625156,Bottled Water Purchase,BLUETRITON BRANDS INC,84-CHICAGO DEPARTMENT OF TRANSPORTATION,76.49,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,No,na,No,na,Yes,Completed,A. Specification Development Phase
2024-09-24 13:24:59,2024-09-25,624878,Provide water to laborers and drivers especially on extremely hot days.,BLUETRITON BRANDS INC,81-DEPARTMENT OF STREETS AND SANITATION,2538.66,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,615422,No,000000,Yes,Completed,A. Specification Development Phase
