pattern,match_type,business_category,nigp_class_3digit,nigp_item_5digit,nigp_match_level,notes
TORTS/SETTLEMENT 3.3.23,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): A tort settlement payment is a pass-through disbursement to settle a legal claim, not a procurement of goods or services"
TRAINING GRANT FY23 AMERICAN HEART ASSOC. $165.00 CONSUMABLE SUPPLIES,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a grant disbursement to the American Heart Association for training purposes, clearly a pass-through funding all"
TRAINING GRANT FY23 AMERICAN HEART ASSOC. EMS SUPPLIES $330.00,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a training grant disbursement to American Heart Association for EMS supplies, which is a subgrant pass-through p"
"TRAINING GRANT FY23 CAROL STREAM $5,400.00 TECHNICAL MEETING COSTS",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a grant disbursement to Carol Stream for training purposes, clearly a pass-through funding allocation rather tha"
"TRAINING GRANT FY24 CAROL STREAM $4,207.04 TECHNICAL MEETINGS",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a grant disbursement to Carol Stream for training purposes, which falls under pass-through funding as specified "
"TRAINING GRANT FY22 JONES & BARTLETT $12,872.69 CONSUMABLE SUPPLIES",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Training grant disbursement to Jones & Bartlett is a subgrant pass-through funding payment, not procurement of goods or "
"TRAINING GRANT FY22 SCANTRON $1,522.00 TESTING ANNUAL LICENSE",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a training grant disbursement for annual testing license fees, which qualifies as pass-through grant funding rat"
"TRAINING GRANT FY23 SECURITAS $16,056 PROFESSIONAL & TECHNICAL SERVICES",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a grant disbursement for training services, which falls under pass-through funding rather than direct procuremen"
"TRAINING GRANT FY23 SECURITAS $14,960.51 PROFESSIONAL & TECHNICAL SERVICES",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a training grant disbursement to Securitas, which is a pass-through funding allocation rather than a direct comm"
"TRAINING GRANT FY23 SCANTRON $1,582.00 TESTING ANNUAL LICENSE",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a grant disbursement for training purposes in FY23, indicating pass-through funding rather than a direct commodi"
"TRAINING GRANT FY23 SECURITAS $15,938.93 PROFESSIONAL & TECHNICAL SERVICES",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a grant disbursement to Securitas for training services in FY23, which is a subgrant pass-through funding transa"
"TRAINING GRANT FY23 SECURITAS $9,750.67 PROFESSIONAL & TECHNICAL SERVICES",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a disbursement of training grant funding to Securitas, which is a pass-through funding transaction rather than a"
TRAINING GRANT FY24 SCANTRON $185.29 CONSUMABLE SUPPLIES,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): The explicit mention of 'TRAINING GRANT FY24' indicates this is a pass-through grant disbursement for educational consum"
"TRAINING GRANT FY23 JONES & BARTLETT $2,394.00 BOOKS & RELATED MATERIALS",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a training grant disbursement (FY23 allocation), not a procurement of goods or services for city operations."
"TRAINING GRANT FY23 JONES & BARTLETT $25,863.75 CONSUMABLE SUPPLIES",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a grant disbursement to Jones & Bartlett for training purposes in fiscal year 2023, which is a subgrant or pass-"
"TRAINING GRANT FY23 JONES & BARTLETT $41,035.50 BOOKS & RELATED MATERIALS",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Training grant with specific fiscal year and payee indicates a pass-through funding disbursement rather than a procureme"
"TRAINING GRANT FY23 FLIGHT SAFETY $28,350.00 TECHNICAL MEETING COSTS",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a grant disbursement for training/technical meeting costs related to flight safety, not a direct commodity or se"
TRAINING GRANT FY24 IL FIRE INSPECTORS ASSOC. $2350 TECHNICAL MEETINGS,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a grant disbursement to the Illinois Fire Inspectors Association for training activities, representing a pass-th"
"TRAINING GRANT FY24 JONES & BARTLETT $11,476.12 CONUSMABLE SUPPLIES",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is labeled as a training grant disbursement to Jones & Bartlett, which is subgrant funding pass-through; no NIGP cl"
"TRAINING GRANT FY24 JONES & BARTLETT $21,761.78 CONSUMABLE SUPPLIES",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a subgrant disbursement for training purposes (identified as 'TRAINING GRANT FY24'), which falls under pass-thro"
"TRAINING GRANT FY23 U OF I $17,850.00 TECHNICAL MEETINGS",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a subgrant disbursement to University of Illinois for training, clearly a pass-through funding item with no NIGP"
TRAINING GRANT FY23 NAEMT $900.00 TECHNICAL MEETINGS,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a grant disbursement for training/technical meetings, which falls under pass-through funding per special handlin"
Administrative reimbursement for July 2023 Food truck Festival,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Administrative reimbursement for an event suggests a pass-through funding or grant disbursement rather than a direct com"
"TWH GRANT AGREEMENT, CHICAGO MOBILE MAKERS",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Grant agreement disbursement to an external organization qualifies as a pass-through grant funding transaction with no a"
"TWH GRANT AGREEMENT, NFP",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Grant agreement to a nonprofit organization (NFP) is a subgrant disbursement requiring Grants & Pass-Through Funding cat"
1st Amendment to Revolving LOC,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): A revolving Line of Credit (LOC) amendment is a pass-through funding mechanism for the city, not a procurement of goods "
Task Order for Emergency Bridge & Viaduct Repair,exact,Construction & Trades Services,913,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Emergency bridge and viaduct repair is a construction trades service activity that directly matches NIGP class 913 (Brid"
Targus Wireless Bluetooth Mono Headset,exact,"IT, Telecom & Audio/Visual",803,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Wireless headset is audio equipment; NIGP 803 covers earphones and audio devices."
"The Renaissance Collaborative, Inc.; ARP-ETOD",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This appears to be a subgrant disbursement to The Renaissance Collaborative, Inc. for an ARP-ETOD (American Rescue Plan "
AXN Print Full Page Ad -12/21/22 Invoice# CIV00242682,exact,"Office, Print & Marketing",915,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Full page print advertisement is advertising/public relations media placement, directly matching NIGP 915 (ADVERTISING/P"
Tenant Construction (reimb) Commitments,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a reimbursement commitment for tenant construction, which represents a pass-through or subgrant disbursement rat"
AVERTISING FOR SMALL BUSINESS EXPO,exact,"Office, Print & Marketing",915,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Advertising services for an event clearly falls under advertising/public relations, matched to NIGP 915 (ADVERTISING/PUB"
Tort/Settlement (12/21/22),exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Tort settlement payment is a pass-through liability disbursement, not a procurement of goods or services."
The Interfaith Housing Development,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Interfaith Housing Development is a subgrant disbursement to a housing development organization, qualifying as pass-thro"
Third City Studio NFP; ARP-CDG,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): ARP-CDG indicates American Rescue Plan funding pass-through to a nonprofit organization, which is a subgrant disbursemen"
The Martha HHDC LLC  Transfer of Ownership from North Center TIF Redevelopment Agreement to The Martha HHDC LLC,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a transfer of ownership/property rights under a TIF redevelopment agreement, which is a pass-through funding or "
1998A WW Fixed Debt,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a fixed-debt financing instrument (likely a municipal bond or loan product) representing pass-through funding, n"
To refund IDHS for overpayments. JV24GP105470000,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a refund/reimbursement to IDHS (Illinois Department of Human Services) for overpayments, which constitutes a pas"
Torts/Settlement 1.22.25,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Settlement payments are pass-through disbursements from the city to external parties, not procurement of goods or servic"
AT&T Plan and Internet Service,exact,"IT, Telecom & Audio/Visual",725,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): AT&T plan and internet service is a core telecommunications service, directly matching the Telephone Equipment and Techn"
ACCT# 0122238496 Drinking Water Invoice# 13J0122238496 Activity 09/11/23-10/10/23 & Invoice#    13K0122238496 Activity 10/11/23-11/10/23,exact,Facilities Operations & Maintenance,390,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Drinking water invoice matches NIGP 390 (Bottled drinking water) and falls under chemical/water treatment commodities.  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
"1270-StORAGE ORD for February 1-28, 2023 Invoice# 107589",exact,Professional & Administrative Services,962,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Description indicates storage service for one month (February 1-28, 2023), which directly corresponds to NIGP class 962 "
1256827: Term Agreement for Water Main Construction and Lead Service Line Replacement: District Three,exact,Construction & Trades Services,913,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Water main construction and lead service line replacement is a construction/infrastructure maintenance project best matc"
Illinois Department of Employment Security - 2024 Q4 Unemployment Insurance for the City of Chicago,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a pass-through disbursement of unemployment insurance funds from state to city, qualifying as subgrant funding w"
ISI STORAGE RET ADD YR,exact,Professional & Administrative Services,962,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Annual storage retention charge for city records storage aligns with NIGP 962 records storage services and equipment ren  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
Dedrone AXIS Q62 Series PTZ Camera,exact,"IT, Telecom & Audio/Visual",939,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): PTZ camera is an audio/visual system component for surveillance and monitoring, matching NIGP 939 (maintenance, testing,"
Torts/settlement 1/6/2025,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Tort settlement payments are pass-through disbursements from the city, requiring no specific commodity classification."
"Dell 24 USB-C Hub Monitor - P2422HE: Dell 24 USB-C Hub Monitor - P2422HE, 60.5cm (23.8;Dell 24 USB-C Hub Monitor - P2422HE, 60.5cm (23.8"")",exact,"IT, Telecom & Audio/Visual",939,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): USB-C hub monitor is audiovisual equipment/display technology that maintains, supports, and integrates audio/visual syst"
"Dell 27 Video Conferencing Monitor - C2722DE: Dell 27 Monitor- C2722DE;Dell 27 Video Conferencing Monitor - C2722DE, 68.47cm (27.0"")",exact,"IT, Telecom & Audio/Visual",939,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): A Dell 27 video conferencing monitor is audiovisual equipment for video conferencing systems, directly mapping to NIGP 9"
Dell 3-cell 53 Wh Lithium Ion Replacement Battery for Select Laptops,exact,Facilities Operations & Maintenance,287,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Lithium ion battery replacement for laptops is a power supply component matching NIGP 287 (Batteries, Power Supply)  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
"Dell 24 Video Conferencing Monitor - C2422HE: Dell 24 Video Conferencing Monitor - C2422HE,Â 60.4;Dell 24 Video Conferencing Monitor - C2422HE, 60.47cm (23.8"")",exact,"IT, Telecom & Audio/Visual",939,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Dell video conferencing monitor is audio/visual equipment; NIGP 939 covers maintenance, testing, repair and purchase of "
"Dell 27 4K USB-C Hub MonitorÂ  - P2723QE: Dell 27 4K USB-C Hub MonitorÂ - P2723QE, 68.6cm (27Dell 27 4K USB-C Hub Monitor - P2723QE, 68.6cm (27"")",exact,"IT, Telecom & Audio/Visual",939,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): 4K USB-C monitor is audio/visual equipment; class 939 covers audio/visual systems and components purchase and maintenanc"
APS_9983_LAWNDALE NEWS DBA LAWNDALE NEWS GROUP INC,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This appears to be a disbursement or grant payment to a news organization (Lawndale News Group Inc), not a procurement o"
Dell 51 WHr 3-Cell Primary Battery for Latitude 5420/5424/7424,exact,Facilities Operations & Maintenance,287,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a rechargeable laptop battery for Dell Latitude computers, matching NIGP 287 (Batteries, Power Supply) which exp  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
"1244196: FLAGS, BANNERS & ACCESSORIES",exact,"Office, Print & Marketing",801,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Flags, banners, and accessories are promotional and visual communication materials; NIGP 801 explicitly covers signs, po"
1241912A: DIGITAL RECRUITMENT AD DISTRIBUTION CAMPAIGN,exact,"Office, Print & Marketing",915,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Digital recruitment ad distribution is advertising/public relations work, directly matching NIGP 915 (ADVERTISING/PUBLIC"
1226261: LED LUMINAIRES - TARGET MARKET,exact,Facilities Operations & Maintenance,285,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): LED luminaires are lighting fixtures for facility illumination, directly matching NIGP 285 (LIGHTING) and facilities ope"
Dell DC/DC Auto-Air Adapter 90W,exact,Facilities Operations & Maintenance,287,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Dell power adapter is computer equipment classified as batteries and power supply accessories.  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
Transfered from APRF No. 495564.  Transfered from APRF No. 495298.  12/2/2024 - 12/31/2024 - Neal and Leroy - OM - ORD -,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Transfer of funds from APRF (Automated Permit Response Form or similar administrative reference) with no specified commo"
Transferred from APRF No. 477152.  4th Quarter Water Expenses for the City of Chicago South-North Airfield Detention Basi,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a financial transfer from another fund (APRF) for water expenses, constituting pass-through funding rather than "
Tripp Lite 15M Duplex Singlemode Fiber 9 125 Patch Cable LC SC 50ft,exact,"IT, Telecom & Audio/Visual",280,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Fiber optic patch cable is telecommunications infrastructure/cabling equipment that maps to NIGP 280 (Cable, Telephone, "
Tripp Lite 25ft Cat6 Gigabit Snagless Molded Patch Cable RJ45 Orange 25,exact,"IT, Telecom & Audio/Visual",280,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Network patch cable is telecommunications infrastructure equipment; NIGP 280 covers telephone cable and related telecom "
"Transferred from APRF No. 480607.  31531185# INVOICE FOR LILLIANA BUSTOS  AIR CARGO 2024 , LOUISVILLE, KY",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Description indicates a transfer from another fund/account (APRF reference) with an invoice for an individual, suggestin"
"INSULATION, PIPE - INSULATION JACKET, PRESSURE RELIEF  VALVES 16-20""",exact,Facilities Operations & Maintenance,010,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is insulation material for pipes, specifically low-temperature fiberglass insulation for pressure relief valves, wh  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
Tripp Lite Cat6 GbE Snagless Molded Patch Cable UTP Orange RJ45 M M 50ft,exact,"IT, Telecom & Audio/Visual",280,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a network telecommunications cable (Cat6 patch cable for Ethernet) that fits telecommunications infrastructure, "
Tripp Lite 5M Duplex Singlemode Fiber 9 125 Patch Cable LC LC 16ft,exact,"IT, Telecom & Audio/Visual",280,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Fiber optic patch cable is telecommunications transmission equipment that fits NIGP 280 (telephone/telecommunications ca"
Tripp Lite 5M Duplex Singlemode Fiber 9 125 Patch Cable LC SC 16ft,exact,"IT, Telecom & Audio/Visual",280,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Fiber optic patch cable is telecommunications infrastructure; class 280 covers telephone/telecom cable products."
Tripp Lite 4M 10Gb Duplex Multimode 50 125 OM3 Fiber Cable LC LC Aqua 13ft,exact,"IT, Telecom & Audio/Visual",280,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Fiber optic cable is telecommunications infrastructure; NIGP 280 covers telephone/telecom cables and related materials."
"UASI 2021 OEMC Conference Registration $1,000.00 120424",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a pass-through disbursement for UASI (Urban Area Security Initiative) grant-funded conference registration, whic"
UASI 2020 Flight Safety Training - NVG Feb2023,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): UASI (Urbana Area Security Initiative) is a federal grant program for first responders; this disbursement to fund flight"
"UASI 2020 IFSI Training-ICS300/400_$14,400_Aug2022",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): UASI (Urban Area Security Initiative) is a federal grant program; this represents pass-through grant funding for trainin"
Tripp Lite Display TV Wall Monitor Mount Arm Swivel/Tilt 26-inch to 55-inch TVs / EA / Flat-Screens - mount,exact,"IT, Telecom & Audio/Visual",939,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): TV monitor mount hardware for audiovisual system installation falls under NIGP 939 (Maintenance, Testing, Repair and Pur"
"UASI 2021 FlightSafety - $27,350.00",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): UASI (Urban Area Security Initiative) is a federal grant program; FlightSafety appears to be a subgrant disbursement to "
Tripp Lite High Speed HDMI Cable Digital Video with Audio M M Black 10ft,exact,"IT, Telecom & Audio/Visual",939,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): HDMI cable is an audio/visual system component for digital video and audio transmission, directly matching NIGP 939 (Mai"
"UASI 2019 FDNY SRFM Training_$1,458.96",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): UASI (Urban Area Security Initiative) indicates a federal grant subgrant disbursement for emergency management training "
"UASI 20-L3 Harris - $44,400",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): UASI (Urban Area Security Initiative) grant funding to Harris is a direct subgrant disbursement requiring passthrough ac"
UIC Grants & Contracts Inv#F8743,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Invoice from UIC Grants & Contracts indicates pass-through grant funding disbursement requiring no NIGP class."
UASI 20 and 21-College of DuPage $975.00 OEM,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): UASI (Urban Area Security Initiative) grant funding being passed through to College of DuPage is a subgrant disbursement"
"UASI TSG Pro Tech $1,235,410.00 (LN)",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): UASI (Urban Area Security Initiative) is a federal grant program; the amount and ""TSG Pro Tech"" reference indicate pass-"
USGBC-ILLINOIS CHAPTER- INVOICE RC002,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Invoice from USGBC-Illinois Chapter indicates a subgrant disbursement or membership/sponsorship payment to an external o"
USGBC-ILLINOIS CHAPTER- INVOICE RC003,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Invoice from USGBC-Illinois Chapter indicates a pass-through funding or membership/grant disbursement to an external org"
Department of the Treasury - IRS - 2022 PCORI Fees for Active & Retiree Health Plan Enrollment Invoice.0006232023,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a federal tax/fee payment (PCORI health plan fees) passed through to the IRS, representing a mandatory disbursem"
Department of the Treasury - IRS - 2023 PCORI Fees for Active & Annuitant Health Plan Enrollment Invoice.0006212024,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a federal tax/fee pass-through payment from City of Chicago to the IRS for PCORI health plan fees, representing "
USGBC-ILLINOIS CHAPTER- INVOICE RC004,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Invoice to USGBC-Illinois Chapter indicates a pass-through funding or grant disbursement to an external organization rat"
USGBC-ILLINOIS CHAPTER- INVOICE RC005,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Invoice to USGBC-Illinois Chapter indicates a subgrant or pass-through funding disbursement to an external organization."
IEPA 2024 Annual FESOP Fees for JWPP and SWPP,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): IEPA (Illinois EPA) annual fees for water pollution prevention programs are state-mandated pass-through environmental co"
IGA - BD OF ED - CHICAGO CONNECTED PHASE TWO,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This describes a subgrant disbursement for Chicago Connected Phase Two education initiative, consistent with pass-throug"
HyperX Cloud Stinger Core Wireless Gaming Headset   Black,exact,"IT, Telecom & Audio/Visual",803,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Wireless gaming headset is an audio device matching the earphones/headset class 803 (EARPHONES - EARPHONES, SENTRY PRO-S"
USGBC-ILLINOIS CHAPTER- INVOICE RC009,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Invoice to USGBC-Illinois Chapter indicates a pass-through funding or subgrant disbursement to an external organization."
USI Insurance Services LLC.Aviation Liability Claims FundINV 4553195,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a claims fund payment to an insurance service provider for aviation liability, representing a pass-through disbu"
USI Insurance Services LLCAdditional Top Up Replenishment Claim FundINV 46088215/15/22-23,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is an insurance claim replenishment/reimbursement from USI Insurance Services, representing a pass-through funding "
Unit #PD7001/ WO#2489997 /Transmission/Michael Marzillo,exact,Vehicles & Fleet,928,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Transmission repair for a vehicle (PD unit designation suggests police department) is automotive maintenance labor match"
APS 8845 and 8917 Closeout invoices for UIC Pit Count 2024,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): These are closeout invoices for a research/academic project at UIC, representing subgrant disbursements or pass-through "
Ubiquiti UniFi Dream Machine Special Edition   network management device,exact,"IT, Telecom & Audio/Visual",920,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): UniFi Dream Machine is a network management and security device for enterprise networks, directly matching NIGP 920 (Net"
ID BADGES AND LABELS,exact,"Public Safety, Uniforms & PPE",080,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): ID badges are identification items typically used by law enforcement and public safety personnel; NIGP 080 covers badges"
"University of IL - Rent reimbursement / 4314 S. Cottage Grove / $2,565.49",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Rent reimbursement to University of Illinois is a pass-through or grant disbursement, not a procurement of goods or serv"
12/8/2023-12/31/2023-Comcast service Account 8771 20 102 0254136 billing date 12/05//2023 invoice 8771 01 001 0007473JAN2024,exact,"IT, Telecom & Audio/Visual",725,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Comcast is a telecommunications service provider; the invoice references account and billing information consistent with"
APPLE APPLECARE  14INCH MBP M4,exact,"IT, Telecom & Audio/Visual",939,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): AppleCare is a maintenance and support service for Apple computers, which is an audio/visual and IT equipment support se"
APC Essential Surgearrest PE66W - surge protector,exact,Facilities Operations & Maintenance,287,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): APC SurgeArrest is a surge protector/power supply device, which maps to NIGP 287 (Batteries, Power Supply).  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
"1107750: REPLACEMENT PARTS FOR MUELLER, SENSUS & BADGER WATER METER",exact,Facilities Operations & Maintenance,941,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Water meter replacement parts directly align with testing/inspection equipment for water meter maintenance, matching NIG"
5G Water Delivery / Top Load H & C Cooler Rental,exact,Equipment Rental & Leasing,979,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Top load water cooler rental is a temporary equipment rental service, matching NIGP 979 (Refrigerator and Freezer Rental"
1155720: MATTRESSES,exact,Furniture & Furnishings,420,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Mattresses are standard furniture items; NIGP 420 directly covers mattresses with specific specifications."
"HYDROTEST MAINTENANCE OF FIRE EXTINGUISHERS (CITY OF CHICAGO)-CARTRIDGE OPERATED DRY CHEMICAL TYPE EXTINGUISHER, 20 LB. PORTABLE, INCLUDES RECHARGE (12 YEAR INSPECTION)",exact,"Public Safety, Uniforms & PPE",936,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Fire extinguisher annual inspection, certification, and maintenance service maps directly to NIGP 936 for fire extinguis"
"HUD CPD/CDBG Account:B20MC1-70006 & B21MC1-70006 Memo: $3,391,168.10 Returned to Treasury interest earned on funds not used within 15 days of draw. Hold for Pick (Corey Harris) - Manual Check to be deposited by CTO in the Main Bank Account",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a return of unspent CDBG (Community Development Block Grant) funds with accrued interest to Treasury, representi"
Various Dog Food,exact,Animal Care & Veterinary,495,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Dog food is animal feed/supplies, and NIGP 495 covers animal litter and feed products for facility animals."
W20-CTY-MICRO-020-001,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Code format 'W20-CTY-MICRO' indicates a subgrant disbursement, consistent with pass-through funding from the City of Chi"
